%time,field.header.seq,field.header.stamp,field.header.frame_id,field.dur,field.meanXYZ0,field.meanXYZ1,field.meanXYZ2,field.meanAcc,field.obs,field.meanXYZHP0,field.meanXYZHP1,field.meanXYZHP2,field.valid,field.active
1576103810144861349,53,1576103810144522287,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103810244617296,54,1576103810244007020,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103810345186115,55,1576103810344505260,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103810444389766,56,1576103810443925450,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103810544063698,57,1576103810543462160,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103810644568518,58,1576103810643930993,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103810744157824,59,1576103810743601991,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103810841854149,60,1576103810841193562,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103810944178119,61,1576103810943578569,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103811048739615,62,1576103811048155957,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103811144237529,63,1576103811143988761,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103811244790866,64,1576103811244188762,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103811344373557,65,1576103811343831438,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103811443619134,66,1576103811443429484,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103811544518865,67,1576103811544107871,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103811644637448,68,1576103811644124777,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103811742463503,69,1576103811741626324,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103811844641515,70,1576103811844015223,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103811944091289,71,1576103811943452577,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103812048798106,72,1576103812048376632,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103812145182397,73,1576103812144575863,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103812244126209,74,1576103812243631389,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103812344058674,75,1576103812343525838,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103812444544458,76,1576103812443995200,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103812544135977,77,1576103812543639928,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103812643120982,78,1576103812642564224,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103812744551432,79,1576103812743946943,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103812843932528,80,1576103812843447680,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103812943844480,81,1576103812943280211,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103813049631133,82,1576103813049021005,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103813144519327,83,1576103813144036595,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103813244197653,84,1576103813243590358,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103813344800139,85,1576103813344183787,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103813444606657,86,1576103813444052399,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103813542251755,87,1576103813541645201,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103813644897065,88,1576103813644313751,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103813744736160,89,1576103813744144702,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103813844176386,90,1576103813843594221,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103813944447754,91,1576103813943928094,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103814048808961,92,1576103814048274378,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103814144541686,93,1576103814143810501,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103814244482872,94,1576103814243927470,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103814344159101,95,1576103814343529420,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103814441985143,96,1576103814441415701,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103814544444622,97,1576103814543887173,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103814644079776,98,1576103814643510688,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103814743891154,99,1576103814743341413,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103814844563767,100,1576103814843910583,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103814944091930,101,1576103814943493832,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103815048890133,102,1576103815048251790,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103815144617275,103,1576103815144136117,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103815244276540,104,1576103815243629207,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103815342845775,105,1576103815342274034,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103815444583142,106,1576103815443990109,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103815544288452,107,1576103815543635225,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103815644122210,108,1576103815643488358,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103815744467735,109,1576103815743952703,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103815844127657,110,1576103815843577590,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103815944199288,111,1576103815943548401,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103816049763054,112,1576103816049056628,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103816144462706,113,1576103816143913960,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103816242797470,114,1576103816242196602,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103816344470571,115,1576103816343895988,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
