40.2466,-111.648978
40.2466,-111.648978
40.2466,-111.648978
40.246602,-111.648985
40.246604,-111.649002
40.246608,-111.649018
40.246609,-111.649037
40.24661,-111.649051
40.246609,-111.649063
40.246609,-111.649078
40.246609,-111.649095
40.246608,-111.649112
40.246608,-111.64913
40.246609,-111.649145
40.246607,-111.649163
40.246603,-111.64918
40.246597,-111.649193
40.246588,-111.649202
40.246579,-111.649206
40.24657,-111.649207
40.246559,-111.649208
40.246548,-111.649209
40.246536,-111.649211
40.246525,-111.649212
40.246512,-111.64921
40.246497,-111.64921
40.246481,-111.649209
40.246465,-111.649209
40.246449,-111.649208
40.246432,-111.649209
40.246416,-111.649208
40.246401,-111.649206
40.246385,-111.649204
40.24637,-111.649205
40.246357,-111.649201
40.24635,-111.649192
40.246345,-111.649179
40.246344,-111.649166
40.246345,-111.649151
40.246352,-111.649139
40.246362,-111.649125
40.246374,-111.649113
40.246386,-111.649102
40.246399,-111.649092
40.24641,-111.64908
40.246422,-111.649069
40.246434,-111.649056
40.246446,-111.649045
40.246458,-111.649032
40.24647,-111.649018
40.246479,-111.649005
40.246488,-111.648992
40.246496,-111.648981
40.246507,-111.648966
40.246518,-111.648953
40.246529,-111.648942
40.246542,-111.648933
40.246554,-111.648927
40.246565,-111.64893
40.246575,-111.648945
40.24658,-111.648957
40.246583,-111.648967
40.246584,-111.648972
40.246583,-111.648975
40.246583,-111.648977
40.246585,-111.648975
