%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1576083024131343681,189,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,-0.259,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.331,6.27,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024206886773,190,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.188,-0.093,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197,7.552,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024248956972,191,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.182,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.104,7.017,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024326980134,192,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.224,-0.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.067,6.049,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024424708384,193,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.486,0.214,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.553,6.2,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024451785733,194,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.694,-0.246,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,5.625,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024534328337,195,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.215,-0.101,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.348,5.735,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024585446803,196,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,0.051,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,6.262,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024652501769,197,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.071,0.473,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.245,6.936,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024735905979,198,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.153,-0.701,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733,4.117,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024786662686,199,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.508,-1.625,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.194,4.472,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024856994229,200,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.232,-1.51,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085,4.05,8.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083024944864050,201,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.643,-0.823,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.235,4.327,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083025045593281,202,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002,-0.605,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.974,4.038,10.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083025142487322,203,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,0.134,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.165,4.984,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083025181867557,204,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647,0.173,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.876,3.805,8.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083025249489211,205,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.157,0.129,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.849,8.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083025564708672,206,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.255,0.393,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,5.344,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083025565663235,207,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025,0.743,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256,4.792,8.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083025565710907,208,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038,1.372,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,4.591,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083025565923303,209,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.765,0.447,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.137,4.641,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083025586338747,210,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,-0.118,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.461,5.729,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083025660894942,211,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.255,-0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.505,5.254,9.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
