%time,field.header.seq,field.header.stamp,field.header.frame_id,field.refStationId,field.relPosNED0,field.relPosNED1,field.relPosNED2,field.relPosLength,field.relPosHeading,field.relPosHPNED0,field.relPosHPNED1,field.relPosHPNED2,field.relPosHPLength,field.accNED0,field.accNED1,field.accNED2,field.accLength,field.accHeading,field.flags
1576082905191727355,1,1576082905191307480,,0,1.6,-0.84,-2.71,3.25,5.79886062854,0.0008,-0.0022,-0.0001,0.0084,0.4979,0.4035,0.9626,0.8436,0,263
1576082905289249855,2,1576082905289062438,,0,1.53,-0.8,-2.66,3.17,5.80299810607,0.0097,-0.002,-0.0026,0.0085,0.4746,0.3858,0.9246,0.8137,0,263
1576082905394681272,3,1576082905394187355,,0,1.48,-0.76,-2.61,3.1,5.80622696518,0.0079,-0.0089,-0.0088,0.0086,0.4545,0.3701,0.8915,0.7872,0,263
1576082905487474480,4,1576082905487179147,,0,1.43,-0.73,-2.59,3.05,5.811378479,0.0091,-0.0043,-0.0058,0.0075,0.4366,0.3567,0.8626,0.7655,0,263
1576082905591233397,5,1576082905591062813,,0,1.41,-0.7,-2.51,2.97,5.81938500241,0.001,-0.0058,-0.0098,0.0029,0.4202,0.3442,0.8327,0.738,0,263
1576082905684214272,6,1576082905684048230,,0,1.4,-0.65,-2.48,2.92,5.8460892381,0.0062,-0.007,-0.003,0.0082,0.4061,0.334,0.8076,0.716,0,263
1576082905793418980,7,1576082905793154897,,0,1.4,-0.62,-2.46,2.9,5.86770758435,0.0072,-0.0008,-0.0051,0.0055,0.3936,0.3248,0.785,0.6962,0,263
1576082905898550522,8,1576082905898172980,,0,1.4,-0.58,-2.45,2.89,5.88788777929,0.0068,-0.007,-0.0055,0.0002,0.3822,0.3164,0.7643,0.6785,0,263
1576082905994638063,9,1576082905994178688,,0,1.4,-0.55,-2.44,2.87,5.90650485736,0.0088,-0.0073,-0.0063,0.0074,0.3718,0.3087,0.7454,0.6621,0,263
1576082906094241063,10,1576082906094052855,,0,1.4,-0.53,-2.45,2.87,5.92177020513,0.005,-0.0011,-0.0068,0.0096,0.3627,0.3016,0.7296,0.6495,0,263
1576082906194210272,11,1576082906194041188,,0,1.38,-0.51,-2.47,2.88,5.92422134553,0.0033,-0.009,-0.0056,0.003,0.3537,0.2947,0.7146,0.6389,0,263
1576082906293528730,12,1576082906293180730,,0,1.36,-0.5,-2.48,2.88,5.92744461959,0.0034,-0.0066,-0.007,0.001,0.3454,0.2882,0.7005,0.6285,0,263
1576082906387234938,13,1576082906387053688,,0,1.35,-0.49,-2.48,2.86,5.93059738235,0.0009,-0.0071,-0.0006,0.008,0.3374,0.282,0.6855,0.6158,0,263
1576082906493272980,14,1576082906493067980,,0,1.33,-0.48,-2.47,2.85,5.9336684637,0.0086,-0.0079,-0.0039,0.0048,0.33,0.2762,0.6713,0.6038,0,263
1576082906594607564,15,1576082906594169605,,0,1.33,-0.48,-2.46,2.84,5.93669556276,0.0017,-0.0008,-0.0033,0.0012,0.323,0.2707,0.658,0.592,0,263
