%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fix,field.lla0,field.lla1,field.lla2,field.position0,field.position1,field.position2,field.horizontal_accuracy,field.vertical_accuracy,field.velocity0,field.velocity1,field.velocity2,field.speed_accuracy
1576103712673460807,6,1576103712673136473,,0,40.2465819,-111.6489757,1404.96,-179889992.0,-453218015.0,409982943.0,0.014,0.01,-4.0,0.0,0.0,0.109
1576103712673555348,7,1576103712673167765,,0,40.2465819,-111.6489757,1404.96,-179889992.0,-453218015.0,409982943.0,0.014,0.01,4.0,0.0,0.0,0.109
1576103712766378557,8,1576103712766112723,,0,40.2465819,-111.6489757,1404.953,-179889992.0,-453218014.0,409982943.0,0.014,0.01,4.0,0.0,0.0,0.138
1576103712766548265,9,1576103712766129932,,0,40.2465819,-111.6489757,1404.953,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-1.0,0.0,0.0,0.138
1576103712863441515,10,1576103712863126265,,0,40.246582,-111.6489757,1404.954,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-1.0,0.0,0.0,0.115
1576103712863470557,11,1576103712863143682,,0,40.246582,-111.6489757,1404.954,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.115
1576103712971377723,12,1576103712971110765,,0,40.246582,-111.6489757,1404.954,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.115
1576103712971567932,13,1576103712971129015,,0,40.246582,-111.6489757,1404.954,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-1.0,0.0,0.0,0.115
1576103713070329473,14,1576103713070082723,,0,40.2465819,-111.6489757,1404.956,-179889992.0,-453218015.0,409982943.0,0.014,0.01,-1.0,0.0,0.0,0.108
1576103713070429765,15,1576103713070109932,,0,40.2465819,-111.6489757,1404.956,-179889992.0,-453218015.0,409982943.0,0.014,0.01,-4.0,0.0,0.0,0.108
1576103713172340682,16,1576103713172045182,,0,40.246582,-111.6489757,1404.958,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-4.0,0.0,0.0,0.127
1576103713172383057,17,1576103713172069098,,0,40.246582,-111.6489757,1404.958,-179889992.0,-453218014.0,409982943.0,0.014,0.01,2.0,0.0,0.0,0.127
1576103713271296265,18,1576103713271075390,,0,40.246582,-111.6489757,1404.959,-179889992.0,-453218015.0,409982943.0,0.014,0.01,2.0,0.0,0.0,0.108
1576103713271452390,19,1576103713271093015,,0,40.246582,-111.6489757,1404.959,-179889992.0,-453218015.0,409982943.0,0.014,0.01,2.0,0.0,0.0,0.108
1576103713370317682,20,1576103713370087932,,0,40.246582,-111.6489757,1404.955,-179889992.0,-453218014.0,409982943.0,0.014,0.01,2.0,0.0,0.0,0.114
1576103713370432890,21,1576103713370104890,,0,40.246582,-111.6489757,1404.955,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-6.0,0.0,0.0,0.114
1576103713463377390,22,1576103713463097432,,0,40.246582,-111.6489757,1404.959,-179889992.0,-453218015.0,409982943.0,0.014,0.01,-6.0,0.0,0.0,0.116
1576103713463507932,23,1576103713463115765,,0,40.246582,-111.6489757,1404.959,-179889992.0,-453218015.0,409982943.0,0.014,0.01,0.0,0.0,0.0,0.116
1576103713578386432,24,1576103713578091807,,0,40.2465819,-111.6489757,1404.956,-179889992.0,-453218015.0,409982943.0,0.014,0.01,0.0,0.0,0.0,0.122
1576103713578478557,25,1576103713578108307,,0,40.2465819,-111.6489757,1404.956,-179889992.0,-453218015.0,409982943.0,0.014,0.01,0.0,0.0,0.0,0.122
1576103713668245598,26,1576103713668024098,,0,40.246582,-111.6489757,1404.96,-179889992.0,-453218015.0,409982943.0,0.014,0.01,0.0,0.0,0.0,0.105
1576103713668301807,27,1576103713668049390,,0,40.246582,-111.6489757,1404.96,-179889992.0,-453218015.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.105
1576103713772459473,28,1576103713772124265,,0,40.246582,-111.6489757,1404.961,-179889992.0,-453218015.0,409982944.0,0.014,0.01,-2.0,0.0,0.0,0.135
1576103713772487057,29,1576103713772141640,,0,40.246582,-111.6489757,1404.961,-179889992.0,-453218015.0,409982944.0,0.014,0.01,-2.0,0.0,0.0,0.135
1576103713870397723,30,1576103713870077307,,0,40.246582,-111.6489757,1404.95,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.117
1576103713870422307,31,1576103713870093807,,0,40.246582,-111.6489757,1404.95,-179889992.0,-453218014.0,409982943.0,0.014,0.01,0.0,0.0,0.0,0.117
1576103713970289974,32,1576103713970070765,,0,40.246582,-111.6489757,1404.957,-179889992.0,-453218014.0,409982943.0,0.014,0.01,0.0,0.0,0.0,0.108
1576103713970424765,33,1576103713970087349,,0,40.246582,-111.6489757,1404.957,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-3.0,0.0,0.0,0.108
1576103714070359724,34,1576103714070064432,,0,40.246582,-111.6489757,1404.959,-179889992.0,-453218015.0,409982943.0,0.014,0.01,-3.0,0.0,0.0,0.131
1576103714070387474,35,1576103714070080182,,0,40.246582,-111.6489757,1404.959,-179889992.0,-453218015.0,409982943.0,0.014,0.01,-1.0,0.0,0.0,0.131
1576103714170416640,36,1576103714170067474,,0,40.246582,-111.6489757,1404.957,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-1.0,0.0,0.0,0.127
1576103714170488474,37,1576103714170083890,,0,40.246582,-111.6489757,1404.957,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-1.0,0.0,0.0,0.127
1576103714269315432,38,1576103714269065932,,0,40.2465819,-111.6489757,1404.953,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-1.0,0.0,0.0,0.123
1576103714270299349,39,1576103714270020974,,0,40.2465819,-111.6489757,1404.953,-179889992.0,-453218014.0,409982943.0,0.014,0.01,1.0,0.0,0.0,0.123
1576103714371443390,40,1576103714371074015,,0,40.246582,-111.6489757,1404.953,-179889992.0,-453218014.0,409982943.0,0.014,0.01,1.0,0.0,0.0,0.113
1576103714371487932,41,1576103714371090015,,0,40.246582,-111.6489757,1404.953,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.113
1576103714470337265,42,1576103714470086099,,0,40.246582,-111.6489757,1404.958,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.115
1576103714470447974,43,1576103714470106307,,0,40.246582,-111.6489757,1404.958,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.115
1576103714573428890,44,1576103714573104057,,0,40.2465819,-111.6489757,1404.954,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.135
1576103714573547057,45,1576103714573121057,,0,40.2465819,-111.6489757,1404.954,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-1.0,0.0,0.0,0.135
1576103714674384765,46,1576103714674089307,,0,40.246582,-111.6489757,1404.954,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-1.0,0.0,0.0,0.12
1576103714674525890,47,1576103714674113307,,0,40.246582,-111.6489757,1404.954,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.12
1576103714772387474,48,1576103714772075599,,0,40.246582,-111.6489757,1404.953,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.122
1576103714772497432,49,1576103714772092807,,0,40.246582,-111.6489757,1404.953,-179889992.0,-453218014.0,409982943.0,0.014,0.01,1.0,0.0,0.0,0.122
1576103714870412015,50,1576103714870088390,,0,40.2465819,-111.6489757,1404.953,-179889992.0,-453218014.0,409982943.0,0.014,0.01,1.0,0.0,0.0,0.122
1576103714870437932,51,1576103714870104265,,0,40.2465819,-111.6489757,1404.953,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-3.0,0.0,0.0,0.122
1576103714971427765,52,1576103714971075432,,0,40.246582,-111.6489757,1404.962,-179889992.0,-453218015.0,409982944.0,0.014,0.01,-3.0,0.0,0.0,0.12
1576103714971469557,53,1576103714971092640,,0,40.246582,-111.6489757,1404.962,-179889992.0,-453218015.0,409982944.0,0.014,0.01,0.0,0.0,0.0,0.12
1576103715070347682,54,1576103715070068099,,0,40.2465819,-111.6489757,1404.954,-179889992.0,-453218014.0,409982943.0,0.014,0.01,0.0,0.0,0.0,0.108
1576103715070385932,55,1576103715070084932,,0,40.2465819,-111.6489757,1404.954,-179889992.0,-453218014.0,409982943.0,0.014,0.01,4.0,0.0,0.0,0.108
1576103715169392432,56,1576103715169081682,,0,40.2465819,-111.6489757,1404.956,-179889992.0,-453218015.0,409982943.0,0.014,0.01,4.0,0.0,0.0,0.125
1576103715169437932,57,1576103715169097849,,0,40.2465819,-111.6489757,1404.956,-179889992.0,-453218015.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.125
1576103715270411140,58,1576103715270065432,,0,40.2465819,-111.6489757,1404.963,-179889993.0,-453218015.0,409982944.0,0.014,0.01,-2.0,0.0,0.0,0.114
1576103715270446640,59,1576103715270081265,,0,40.2465819,-111.6489757,1404.963,-179889993.0,-453218015.0,409982944.0,0.014,0.01,-2.0,0.0,0.0,0.114
1576103715370401432,60,1576103715370068265,,0,40.246582,-111.6489757,1404.949,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.106
1576103715370433099,61,1576103715370084640,,0,40.246582,-111.6489757,1404.949,-179889992.0,-453218014.0,409982943.0,0.014,0.01,3.0,0.0,0.0,0.106
1576103715465434807,62,1576103715465078265,,0,40.2465819,-111.6489757,1404.952,-179889992.0,-453218014.0,409982943.0,0.014,0.01,3.0,0.0,0.0,0.116
1576103715465492807,63,1576103715465095849,,0,40.2465819,-111.6489757,1404.952,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-5.0,0.0,0.0,0.116
1576103715577377390,64,1576103715577110224,,0,40.246582,-111.6489757,1404.955,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-5.0,0.0,0.0,0.12
1576103715577501849,65,1576103715577128307,,0,40.246582,-111.6489757,1404.955,-179889992.0,-453218014.0,409982943.0,0.014,0.01,0.0,0.0,0.0,0.12
1576103715674301390,66,1576103715674076599,,0,40.2465819,-111.6489757,1404.95,-179889992.0,-453218014.0,409982943.0,0.014,0.01,0.0,0.0,0.0,0.11
1576103715674438182,67,1576103715674093057,,0,40.2465819,-111.6489757,1404.95,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.11
1576103715771429474,68,1576103715771086557,,0,40.246582,-111.6489756,1404.947,-179889991.0,-453218014.0,409982943.0,0.014,0.01,-2.0,0.0,0.0,0.114
1576103715771485474,69,1576103715771103140,,0,40.246582,-111.6489756,1404.947,-179889991.0,-453218014.0,409982943.0,0.014,0.01,-3.0,0.0,0.0,0.114
1576103715871379599,70,1576103715871068474,,0,40.246582,-111.6489757,1404.951,-179889992.0,-453218014.0,409982943.0,0.014,0.01,-3.0,0.0,0.0,0.126
1576103715871406182,71,1576103715871084932,,0,40.246582,-111.6489757,1404.951,-179889992.0,-453218014.0,409982943.0,0.014,0.01,1.0,0.0,0.0,0.126
