%time,field.header.seq,field.header.stamp,field.header.frame_id,field.refStationId,field.relPosNED0,field.relPosNED1,field.relPosNED2,field.relPosLength,field.relPosHeading,field.relPosHPNED0,field.relPosHPNED1,field.relPosHPNED2,field.relPosHPLength,field.accNED0,field.accNED1,field.accNED2,field.accLength,field.accHeading,field.flags
1576103529597152327,3,1576103529581034035,,0,2.96,-0.85,-0.67,3.15,6.0030194706,0.0022,-0.0023,-0.0028,0.005,0.01,0.01,0.0112,0.0101,0,279
1576103529665444785,4,1576103529665141618,,0,2.96,-0.85,-0.67,3.15,6.00327987372,0.0038,-0.002,-0.0026,0.0063,0.01,0.01,0.0103,0.01,0,279
1576103529773286368,5,1576103529773078660,,0,2.96,-0.85,-0.67,3.15,6.0028191068,0.0024,-0.003,-0.0066,0.0062,0.01,0.01,0.01,0.01,0,279
1576103529874187910,6,1576103529874023368,,0,2.96,-0.85,-0.67,3.15,6.00219497706,0.0039,-0.0055,-0.0044,0.0077,0.01,0.01,0.01,0.01,0,279
1576103529973333827,7,1576103529973065660,,0,2.96,-0.85,-0.67,3.15,6.00297897896,0.0032,-0.0027,-0.0043,0.0063,0.01,0.01,0.01,0.01,0,279
1576103530068276785,8,1576103530068081035,,0,2.96,-0.85,-0.67,3.15,6.00291544897,0.0007,-0.0022,-0.0075,0.0045,0.01,0.01,0.01,0.01,0,279
1576103530174185827,9,1576103530174022035,,0,2.96,-0.85,-0.67,3.15,6.00268227298,0.0031,-0.0037,-0.003,0.0062,0.01,0.01,0.01,0.01,0,279
1576103530273540118,10,1576103530273182743,,0,2.96,-0.85,-0.67,3.15,6.00301039488,0.0044,-0.003,-0.0035,0.0074,0.01,0.01,0.01,0.01,0,279
1576103530373206035,11,1576103530373025035,,0,2.96,-0.85,-0.67,3.15,6.00299294159,0.0029,-0.0026,-0.0053,0.0062,0.01,0.01,0.01,0.01,0,279
1576103530474207160,12,1576103530474034243,,0,2.96,-0.85,-0.67,3.15,6.00240581283,0.0034,-0.0046,-0.0032,0.0068,0.01,0.01,0.01,0.01,0,279
1576103530582497327,13,1576103530582189952,,0,2.96,-0.85,-0.67,3.15,6.00266761222,0.0029,-0.0037,-0.0044,0.0063,0.01,0.01,0.01,0.01,0,279
1576103530674195160,14,1576103530674036160,,0,2.96,-0.85,-0.67,3.15,6.00281212548,0.0044,-0.0036,-0.0075,0.0083,0.01,0.01,0.01,0.01,0,279
1576103530774506077,15,1576103530774133160,,0,2.96,-0.85,-0.67,3.15,6.00301528181,0.0035,-0.0027,-0.003,0.0064,0.01,0.01,0.01,0.01,0,279
1576103530873524035,16,1576103530873174618,,0,2.96,-0.85,-0.67,3.15,6.00247702226,0.0034,-0.0044,-0.0075,0.0077,0.01,0.01,0.01,0.01,0,279
1576103530968425993,17,1576103530968141702,,0,2.96,-0.85,-0.67,3.15,6.00284633393,0.0049,-0.0037,-0.0053,0.0084,0.01,0.01,0.01,0.01,0,279
1576103531074226660,18,1576103531074030993,,0,2.96,-0.85,-0.67,3.15,6.00286867415,0.0019,-0.0027,-0.0019,0.0046,0.01,0.01,0.01,0.01,0,279
1576103531173510035,19,1576103531173175535,,0,2.96,-0.85,-0.67,3.15,6.0037176023,0.0055,-0.001,-0.0033,0.0078,0.01,0.01,0.01,0.01,0,279
1576103531273190452,20,1576103531273022160,,0,2.96,-0.85,-0.67,3.15,6.00302016873,0.0039,-0.0028,-0.0014,0.0063,0.01,0.01,0.01,0.01,0,279
1576103531373754327,21,1576103531373199035,,0,2.96,-0.85,-0.67,3.15,6.00297897896,0.0031,-0.0027,-0.0047,0.0063,0.01,0.01,0.01,0.01,0,279
1576103531473858868,22,1576103531473218618,,0,2.96,-0.85,-0.67,3.15,6.0027199721,0.004,-0.0038,-0.004,0.0073,0.01,0.01,0.01,0.01,0,279
1576103531580774285,23,1576103531580207618,,0,2.96,-0.85,-0.67,3.15,6.00229620615,0.0028,-0.0048,-0.0057,0.0068,0.01,0.01,0.01,0.01,0,279
1576103531674537535,24,1576103531674119410,,0,2.96,-0.85,-0.67,3.15,6.00274091605,0.0022,-0.0032,-0.0004,0.0047,0.01,0.01,0.01,0.01,0,279
1576103531773751327,25,1576103531773209618,,0,2.96,-0.85,-0.67,3.15,6.00250285314,0.0047,-0.0047,-0.0012,0.0076,0.01,0.01,0.01,0.01,0,279
1576103531868731743,26,1576103531868234702,,0,2.96,-0.84,-0.66,3.15,6.00436058159,0.0036,-0.0084,-0.0097,0.0045,0.01,0.01,0.01,0.01,0,279
1576103531974235785,27,1576103531974032577,,0,2.96,-0.85,-0.67,3.15,6.00293639292,0.0034,-0.0029,-0.0021,0.0061,0.01,0.01,0.01,0.01,0,279
1576103532074250910,28,1576103532074037327,,0,2.96,-0.84,-0.67,3.15,6.00498122068,0.0036,-0.0064,-0.0023,0.0046,0.01,0.01,0.01,0.01,0,279
1576103532172808910,29,1576103532172240119,,0,2.96,-0.83,-0.66,3.15,6.0083776314,0.0056,-0.0061,-0.0079,0.0027,0.01,0.01,0.01,0.01,0,279
1576103532266290494,30,1576103532266053285,,0,2.96,-0.82,-0.67,3.15,6.01229694277,0.0073,-0.0041,-0.0077,0.0032,0.01,0.01,0.01,0.01,0,279
1576103532373689452,31,1576103532373248160,,0,2.97,-0.8,-0.66,3.15,6.0196950444,0.0053,-0.0026,-0.0094,0.0035,0.01,0.01,0.01,0.01,0,279
1576103532472602952,32,1576103532472155369,,0,2.98,-0.77,-0.67,3.15,6.02903395216,0.0027,-0.0048,-0.008,0.0053,0.01,0.01,0.01,0.01,0,279
1576103532582603660,33,1576103532582181910,,0,2.99,-0.74,-0.67,3.15,6.0384671077,0.0023,-0.0073,-0.0092,0.0081,0.01,0.01,0.01,0.01,0,279
