%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1576083147224295422,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.327,9.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083147224353004,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.263,9.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083148246358634,3,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.042,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083148248655516,4,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.166,0.081,9.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083148248704818,5,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016,0.018,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.272,9.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083148248872655,6,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.011,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,-0.112,9.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083148262371723,7,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,-0.105,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083148317720221,8,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.007,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,-0.203,9.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083149062539127,9,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,-0.003,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.955,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083149126245061,10,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,0.002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.782,9.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083149207738766,11,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,-0.005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354,0.972,9.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
