%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fix,field.lla0,field.lla1,field.lla2,field.position0,field.position1,field.position2,field.horizontal_accuracy,field.vertical_accuracy,field.velocity0,field.velocity1,field.velocity2,field.speed_accuracy
1576083076002418709,8,1576083076002112709,,0,40.2465881,-111.6489755,1402.614,-179889908.0,-453217808.0,409982844.0,0.225,0.34,1.0,0.0,0.0,0.092
1576083076002464459,9,1576083076002132042,,0,40.2465881,-111.6489755,1402.614,-179889908.0,-453217808.0,409982844.0,0.225,0.34,0.0,0.0,0.0,0.092
1576083076097426917,10,1576083076097114792,,0,40.246588,-111.6489752,1402.626,-179889907.0,-453217810.0,409982844.0,0.224,0.339,0.0,0.0,0.0,0.113
1576083076097459417,11,1576083076097131417,,0,40.246588,-111.6489752,1402.626,-179889907.0,-453217810.0,409982844.0,0.224,0.339,-1.0,0.0,0.0,0.113
1576083076198414459,12,1576083076198105625,,0,40.2465879,-111.6489751,1402.629,-179889906.0,-453217811.0,409982843.0,0.223,0.338,-1.0,0.0,0.0,0.119
1576083076198555709,13,1576083076198122000,,0,40.2465879,-111.6489751,1402.629,-179889906.0,-453217811.0,409982843.0,0.223,0.338,-1.0,0.0,0.0,0.119
1576083076295306792,14,1576083076295086542,,0,40.2465879,-111.6489749,1402.638,-179889905.0,-453217813.0,409982844.0,0.222,0.337,-1.0,0.0,0.0,0.088
1576083076295419292,15,1576083076295102625,,0,40.2465879,-111.6489749,1402.638,-179889905.0,-453217813.0,409982844.0,0.222,0.337,1.0,0.0,0.0,0.088
1576083076398232542,16,1576083076398031917,,0,40.2465878,-111.6489747,1402.648,-179889904.0,-453217815.0,409982844.0,0.221,0.336,1.0,0.0,0.0,0.109
1576083076398300875,17,1576083076398066542,,0,40.2465878,-111.6489747,1402.648,-179889904.0,-453217815.0,409982844.0,0.221,0.336,1.0,0.0,0.0,0.109
1576083076493527292,18,1576083076493103375,,0,40.2465878,-111.6489745,1402.645,-179889902.0,-453217815.0,409982843.0,0.22,0.335,1.0,0.0,0.0,0.106
1576083076493556292,19,1576083076493119792,,0,40.2465878,-111.6489745,1402.645,-179889902.0,-453217815.0,409982843.0,0.22,0.335,-1.0,0.0,0.0,0.106
1576083076595302250,20,1576083076595087334,,0,40.2465877,-111.6489744,1402.656,-179889902.0,-453217817.0,409982843.0,0.219,0.334,-1.0,0.0,0.0,0.084
1576083076595412542,21,1576083076595103292,,0,40.2465877,-111.6489744,1402.656,-179889902.0,-453217817.0,409982843.0,0.219,0.334,0.0,0.0,0.0,0.084
1576083076696367292,22,1576083076696166500,,0,40.2465877,-111.6489742,1402.657,-179889900.0,-453217818.0,409982843.0,0.218,0.333,0.0,0.0,0.0,0.083
1576083076696508542,23,1576083076696186834,,0,40.2465877,-111.6489742,1402.657,-179889900.0,-453217818.0,409982843.0,0.218,0.333,2.0,0.0,0.0,0.083
1576083076796415417,24,1576083076796082750,,0,40.2465876,-111.6489741,1402.665,-179889900.0,-453217819.0,409982843.0,0.217,0.332,2.0,0.0,0.0,0.082
1576083076796443875,25,1576083076796099834,,0,40.2465876,-111.6489741,1402.665,-179889900.0,-453217819.0,409982843.0,0.217,0.332,-1.0,0.0,0.0,0.082
1576083076903334042,26,1576083076903102000,,0,40.2465876,-111.6489739,1402.665,-179889898.0,-453217820.0,409982843.0,0.216,0.331,-1.0,0.0,0.0,0.084
1576083076903532959,27,1576083076903118792,,0,40.2465876,-111.6489739,1402.665,-179889898.0,-453217820.0,409982843.0,0.216,0.331,0.0,0.0,0.0,0.084
1576083076999388625,28,1576083076999105875,,0,40.2465875,-111.6489737,1402.672,-179889898.0,-453217821.0,409982843.0,0.215,0.33,0.0,0.0,0.0,0.085
1576083076999419375,29,1576083076999121792,,0,40.2465875,-111.6489737,1402.672,-179889898.0,-453217821.0,409982843.0,0.215,0.33,1.0,0.0,0.0,0.085
