%time,field.header.seq,field.header.stamp,field.header.frame_id,field.year,field.month,field.day,field.hour,field.min,field.sec,field.nano,field.tAcc,field.valid,field.fixType,field.flags,field.flags2,field.numSV,field.lla0,field.lla1,field.lla2,field.hMSL,field.hAcc,field.vAcc,field.velNED0,field.velNED1,field.velNED2,field.gSpeed,field.headMot,field.sAcc,field.headAcc,field.pDOP,field.headVeh
1576103643171390215,3,1576103643171055298,,2019,12,11,22,41,19,599872513,5,55,3,131,234,20,40.246582,-111.6489754,1404.895,1423.67,0.014,0.016,-0.02,0.015,0.061,0.025,271.74883,0.107,180.0,1.24,0.0
1576103643271335798,4,1576103643271056465,,2019,12,11,22,41,19,699872465,5,55,3,131,234,20,40.246582,-111.6489754,1404.903,1423.679,0.014,0.016,0.05,0.013,0.061,0.051,271.74883,0.115,139.8165,1.24,0.0
1576103643371287757,5,1576103643371053507,,2019,12,11,22,41,19,799872417,5,55,3,131,234,20,40.246582,-111.6489754,1404.899,1423.675,0.014,0.016,-0.015,-0.026,-0.023,0.03,271.74883,0.121,180.0,1.24,0.0
1576103643466326548,6,1576103643466053715,,2019,12,11,22,41,19,899872369,5,55,3,131,234,20,40.246582,-111.6489754,1404.902,1423.677,0.014,0.017,-0.002,-0.008,-0.016,0.009,271.74883,0.117,180.0,1.24,0.0
1576103643578352507,7,1576103643578055340,,2019,12,11,22,41,20,-127678,5,55,3,131,234,20,40.246582,-111.6489754,1404.9,1423.675,0.014,0.016,-0.006,0.013,0.005,0.014,271.74883,0.122,180.0,1.24,0.0
1576103643674318340,8,1576103643674043257,,2019,12,11,22,41,20,99872274,5,55,3,131,234,20,40.246582,-111.6489754,1404.904,1423.68,0.014,0.016,0.043,-0.007,0.03,0.044,271.74883,0.115,164.10478,1.24,0.0
1576103643772269423,9,1576103643772051757,,2019,12,11,22,41,20,199872226,5,55,3,131,234,20,40.246582,-111.6489754,1404.904,1423.679,0.014,0.015,-0.039,-0.028,-0.025,0.048,271.74883,0.117,146.08084,1.24,0.0
1576103643872309340,10,1576103643872052173,,2019,12,11,22,41,20,299872178,5,55,3,131,234,20,40.246582,-111.6489754,1404.901,1423.677,0.014,0.015,0.018,0.021,0.022,0.027,271.74883,0.118,180.0,1.24,0.0
1576103643971372340,11,1576103643971060423,,2019,12,11,22,41,20,399872130,5,55,3,131,234,20,40.246582,-111.6489754,1404.902,1423.677,0.014,0.015,0.01,-0.009,0.016,0.013,271.74883,0.114,180.0,1.24,0.0
1576103644070274549,12,1576103644070053340,,2019,12,11,22,41,20,499872083,4,55,3,131,234,20,40.246582,-111.6489754,1404.902,1423.677,0.014,0.015,0.002,0.027,0.025,0.027,271.74883,0.118,180.0,1.24,0.0
